City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Pacific Grove,US,36.6177,-121.9166,56.07,92,100,1.99,overcast clouds
281,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.59,95,100,6.44,overcast clouds
282,San Patricio,US,28.017,-97.5169,66.09,94,100,4.9,overcast clouds
283,Kodiak,US,57.79,-152.4072,38.71,93,100,6.91,mist
284,Solnechnyy,RU,50.7214,136.6319,-2.0,98,65,6.38,broken clouds
285,Russell,US,32.3502,-85.1999,55.0,100,0,3.44,mist
286,San Policarpo,PH,12.1791,125.5072,81.45,82,100,6.67,overcast clouds
287,Bilibino,RU,68.0546,166.4372,-32.87,99,22,3.29,few clouds
288,Carnarvon,AU,-24.8667,113.6333,83.28,58,0,25.08,clear sky
289,Sibolga,ID,1.7427,98.7792,83.77,67,45,5.03,light rain
290,Saint Anthony,US,45.0205,-93.218,22.24,85,100,14.97,overcast clouds
291,Tarapur,IN,19.85,72.7,81.79,38,0,12.01,clear sky
292,Auki,SB,-8.7676,160.7034,82.0,80,95,7.49,overcast clouds
293,Carutapera,BR,-1.195,-46.02,75.65,91,83,6.31,broken clouds
294,Buala,SB,-8.145,159.5921,82.76,79,97,8.99,light rain
295,Zhigansk,RU,66.7697,123.3711,-19.37,98,100,2.37,overcast clouds
296,Awbari,LY,26.5921,12.7805,50.47,43,0,4.45,clear sky
297,Lubango,AO,-14.9172,13.4925,67.87,63,100,2.19,overcast clouds
298,Naze,JP,28.3667,129.4833,52.72,86,100,15.93,light rain
299,Itupiranga,BR,-5.1347,-49.3267,75.52,98,100,3.62,overcast clouds
300,Igrim,RU,63.1906,64.4162,-9.53,99,96,2.59,overcast clouds
301,Butembo,CD,0.15,29.2833,66.74,76,25,2.17,light rain
302,Mus,TR,39.0,41.75,19.44,50,0,3.29,clear sky
303,Constitucion,CL,-35.3333,-72.4167,57.42,77,0,2.91,clear sky
304,Hami,CN,42.8,93.45,23.52,39,10,2.91,clear sky
305,Manokwari,ID,-0.8667,134.0833,80.24,77,100,8.72,overcast clouds
306,Leninskoye,KZ,41.7589,69.3864,40.48,61,100,4.92,overcast clouds
307,Esperance,AU,-33.8667,121.9,79.29,51,0,21.16,clear sky
308,Sabha,LY,27.0377,14.4283,51.62,44,0,6.02,clear sky
309,Praya,CV,14.9215,-23.5087,68.54,73,20,8.05,few clouds
310,San-Pedro,CI,4.7485,-6.6363,75.34,88,100,2.95,overcast clouds
311,Ketchikan,US,55.3422,-131.6461,44.58,87,100,11.5,mist
312,Lagoa,PT,39.05,-27.9833,60.44,84,100,27.38,overcast clouds
313,Svetlyy,RU,54.675,20.1347,44.65,88,100,17.76,light rain
314,Ugoofaaru,MV,5.6667,73.0,81.05,75,100,14.03,overcast clouds
315,Bac Lieu,VN,9.285,105.7244,80.74,67,100,7.7,overcast clouds
